# 方块/物品ID - 中文名称查询表
# 每行一个，格式为：ID,中文名称
# 注释（以 # 开头）、空行（含 Trim 后）载入时均会忽略
#
# 具体执行过程中，对于新旧版本 ID 处理方式如下：
# （以下提到旧版时，即指1.12（1.13扁平化以前），新版即1.13扁平化以后）
#
# 1.重命名：分两种情况：
#
# 　　　　　一：新 ID 与旧 ID 完全不同，新旧 ID 在相对的版本中完全不存在。
# 　　　　　　　如：草方块的 ID grass 变成 grass_block，新版中没有 grass，旧版中也没有 grass_block。
# 　　　　　　　此种情况可用唯一 ID 的形式查询，本表中无特殊前缀（但可能会额外写一行注释）。
#
# 　　　　　二：新 ID 与旧 ID 完全不同，但新旧 ID 在相对版本中相互存在，且可能指代完全不同的方块/物品。
# 　　　　　　　如：西瓜片在旧版中的 ID 为 melon，在新版中被重命名为 melon_slice，
# 　　　　　　　　　同时 melon 被复用为西瓜的 ID，原西瓜的 ID（melon_block）新版中被彻底放弃。
# 　　　　　　　对于此种情况，交叉的 ID 将被重复撰写带有~前缀的条目，以供旧版版数据查询时优先调用。
# 　　　　　　　如前例将处理为：melon,西瓜、melon_block,西瓜，~melon,西瓜片，melon_slice,西瓜片
#
# 2.扩　展：1.12 中的单个 ID 对应了新版中的多个 ID，且旧 ID 可能与拆分后的 ID 之一重名。
#
# 　　　　　例一：旧一对新多，旧 ID 消失。
# 　　　　　　　　具体例子：1.12 中的 double_plant 指各种大型花，
# 　　　　　　　　1.13 中各种大型花具有了各自的 ID，且 double_plant 被取消。
# 　　　　　　　　此种情况下，旧版数据中原则上不会存在新版ID，可使用唯一 Key 方式查询。
# 　　　　　　　　本表中对于这种情况的 ID 没有特别标记（因对实际查询过程并无益处）。
#
# 　　　　　例二：旧一对新多，旧 ID 仍存在。
# 　　　　　　　　具体例子：1.12 中的 stone 指各种石头（石头、三色岩及磨制三色岩），但新版只指『石头』。
# 　　　　　　　　ID 写法为：~id，且与同名 ID 并存。
# 　　　　　　　　此种情况下，在数据版本为旧版时，首先查找带有~的对应ID，如未找到再查找无前缀的ID。
#
# 3.合　并：旧多对新一（不姓工藤），旧 ID 仍存在。
# 　　　　　即：1.12 中的多个 ID 对应了新版中的单个 ID，且旧 ID 之一可能与合并后的新 ID 重名。
# 　　　　　例如：1.12 中阳光传感器、反向阳光传感器分别拥有 ID：daylight_detector、daylight_detector_inverted，
# 　　　　　　　　在新版中，ID 被合并为 daylight_detector。
# 　　　　　ID 写法为：-id，且与同名 ID 并存。
# 　　　　　此种情况下，在数据版本为新版时，在扫描过无前缀ID后，应再扫描是否有-前缀的ID。
# 　　　　　（注意：合并前的方块除去重名项后，至少应有一项可获得物品形式，否则无意义，也不会存在于下表中。
# 　　　　　　　　　由于旧多对新一的情况通常是合并冗余 ID（如燃烧中的熔炉、激活的中继器等），
# 　　　　　　　　　在本表中实际上不存在这类 ID，但保留该形式的查询流程，以供未来可能的情况使用）
#
# 以上新旧 ID 撰写及赴加前缀的条目无顺序要求（原则上是先旧后新）。
# 综上所述，查找数据时，具体执行流程如下：
#
# 1.版本判断：判断数据版本是 1.12 还是 1.13；
#
# 2.数据版本为 1.13：
# 　1.检查查询的 ID 是否包含在列表中，如果没有，则返回未找到，并跳出执行；
# 　2.如查询的 ID 在列表中，再次扫描是否包含带-前缀的 ID，如有则提示用户该 ID 包含多种情况。
#
# 3.数据版本为 1.12：
# 　1.将查询的 ID 添加~前缀，然后检查是否包含在列表中，
# 　　如果是，则意味着玩家可能期望的是合并后的单一ID，给出提示并跳出执行；
# 　2.检查查询的 ID（此时无前缀）是否包含在列表中，如果没有则返回未找到。
# 　　注意，此时新旧版本完全不同的扩展前 ID（如 planks，新版中变成6种木板ID）视作用户对一对多知情，不会再额外提示。
#
# 总结：1.12先找~前缀，再找精确匹配；1.13 先找精确匹配，再找-前缀。
#
# 注1：虽然某些物品/方块原则上不可能在正常游戏中以物品形式获得（如活塞头），本表并不排除这些物品/方块。
# 注2：由于 JE 1.14 部分物品 ID 与新版（1.13）条目重复，只是更新了翻译，本表格中目前暂不启用，全部注释掉。

air,空气
blue_ice,蓝冰
conduit,潮涌核心
#polished_granite_stairs,錾制花岗岩楼梯（JE1.14）
#smooth_red_sandstone_stairs,平滑红砂岩台阶（JE1.14）
#mossy_stone_brick_stairs,苔石砖楼梯（JE1.14）
#polished_diorite_stairs,錾制闪长岩楼梯（JE1.14）
#mossy_cobblestone_stairs,苔石楼梯（JE1.14）
#end_stone_brick_stairs,末地石砖楼梯（JE1.14）
#stone_stairs,石头楼梯（JE1.14）
#smooth_sandstone_stairs,平滑砂岩楼梯（JE1.14）
#smooth_quartz_stairs,平滑石英楼梯（JE1.14）
#granite_stairs,花岗岩楼梯（JE1.14）
#andesite_stairs,安山岩楼梯（JE1.14）
#red_nether_brick_stairs,红色地狱砖楼梯（JE1.14）
#polished_andesite_stairs,錾制安山岩楼梯（JE1.14）
#diorite_stairs,闪长岩楼梯（JE1.14）
#polished_granite_slab,錾制花岗岩台阶（JE1.14）
#smooth_red_sandstone_slab,平滑红砂岩台阶（JE1.14）
#mossy_stone_brick_slab,苔石砖台阶（JE1.14）
#polished_diorite_slab,錾制闪长岩台阶（JE1.14）
#mossy_cobblestone_slab,苔石台阶（JE1.14）
#scaffolding,末地石砖台阶（JE1.14）
#smooth_sandstone_slab,平滑砂岩台阶（JE1.14）
#smooth_quartz_slab,平滑石英台阶（JE1.14）
#granite_slab,花岗岩台阶（JE1.14）
#andesite_slab,安山岩台阶（JE1.14）
#red_nether_brick_slab,红色地狱砖台阶（JE1.14）
#polished_andesite_slab,錾制安山岩台阶（JE1.14）
#diorite_slab,花岗岩台阶（JE1.14）
#brick_wall,砖块墙（JE1.14）
#prismarine_wall,海晶石砖墙（JE1.14）
#red_sandstone_wall,红砂岩墙（JE1.14）
#mossy_stone_brick_wall,苔石墙（JE1.14）
#granite_wall,花岗岩墙（JE1.14）
#stone_brick_wall,石砖墙（JE1.14）
#nether_brick_wall,地狱砖墙（JE1.14）
#andesite_wall,安山岩墙（JE1.14）
#red_nether_brick_wall,红色地狱砖墙（JE1.14）
#sandstone_wall,砂岩墙（JE1.14）
#end_stone_brick_wall,末地石砖墙（JE1.14）
#diorite_wall,闪长岩墙（JE1.14）
#scaffolding,脚手架（JE1.14）
wooden_door,橡木门
oak_door,橡木门
iron_door,铁门
spruce_door,云杉木门
birch_door,白桦木门
jungle_door,丛林木门
acacia_door,金合欢木门
dark_oak_door,深色橡木门
repeater,红石中继器
comparator,红石比较器
fire,火
sign‌‌,告示牌‌‌
#oak_sign,橡木告示牌（JE1.14）
wall_sign‌‌,墙上的告示牌
#oak_wall_sign,墙上的橡木告示牌（JE1.14）
#spruce_sign,云杉木告示牌（JE1.14）
#spruce_wall_sign,墙上的云杉木告示牌（JE1.14）
#birch_sign,白桦木告示牌（JE1.14）
#birch_wall_sign,墙上的白桦木告示牌（JE1.14）
#jungle_sign,丛林木告示牌（JE1.14）
#jungle_wall_sign,墙上的丛林木告示牌（JE1.14）
#acacia_sign,金合欢木告示牌（JE1.14）
#acacia_wall_sign,墙上的金合欢木告示牌（JE1.14）
#dark_oak_sign,深色橡木告示牌（JE1.14）
#dark_oak_wall_sign,墙上的深色橡木告示牌（JE1.14）
redstone_wire,红石
kelp,海带
kelp_plant,海带植物
dried_kelp_block,干海带块
#bamboo,竹子（JE1.14）
#bamboo_sapling,竹笋（JE1.14）
cake,蛋糕
bed,床（16色）
white_bed,白色床
orange_bed,橙色床
magenta_bed,品红色床
light_blue_bed,淡蓝色床
yellow_bed,黄色床
lime_bed,黄绿色床
pink_bed,粉红色床
gray_bed,灰色床
light_gray_bed,淡灰色床
cyan_bed,青色床
purple_bed,紫色床
blue_bed,蓝色床
brown_bed,棕色床
green_bed,绿色床
red_bed,红色床
black_bed,黑色床
pumpkin_stem,南瓜茎
attached_pumpkin_stem,结果的南瓜茎
melon_stem,西瓜茎
attached_melon_stem,结果的西瓜茎
nether_wart,地狱疣
brewing_stand,酿造台
cauldron,炼药锅
flower_pot,花盆
potted_poppy,虞美人盆栽
potted_dandelion,蒲公英盆栽
potted_oak_sapling,橡树树苗盆栽
potted_spruce_sapling,云杉树苗盆栽
potted_birch_sapling,白桦树苗盆栽
potted_jungle_sapling,丛林树苗盆栽
potted_red_mushroom,红色蘑菇盆栽
potted_brown_mushroom,棕色蘑菇盆栽
potted_cactus,仙人掌盆栽
potted_dead_bush,枯萎的灌木盆栽
potted_fern,蕨盆栽
potted_acacia_sapling,金合欢树苗盆栽
potted_dark_oak_sapling,深色橡树树苗盆栽
potted_blue_orchid,兰花盆栽
potted_allium,绒球葱盆栽
potted_azure_bluet,茜草花盆栽
potted_red_tulip,红色郁金香盆栽
potted_orange_tulip,橙色郁金香盆栽
potted_white_tulip,白色郁金香盆栽
potted_pink_tulip,粉红色郁金香盆栽
potted_oxeye_daisy,滨菊盆栽
#potted_bamboo,竹子盆栽（JE1.14）
#potted_cornflower,矢车菊盆栽（JE1.14）
#potted_lily_of_the_valley,铃兰盆栽（JE1.14）
#potted_wither_rose,凋灵玫瑰盆栽（JE1.14）
carrots,胡萝卜
potatoes,马铃薯
skeleton_skull,骷髅头颅
skeleton_wall_skull,墙上的骷髅头颅
wither_skeleton_skull,凋灵骷髅头颅
wither_skeleton_wall_skull,墙上的凋灵骷髅头颅
zombie_head,僵尸的头
zombie_wall_head,墙上的僵尸头颅
player_head,玩家头颅
player_wall_head,墙上的玩家头颅
creeper_head,爬行者的头
creeper_wall_head,墙上的爬行者头颅
dragon_head,龙首
dragon_wall_head,墙上的龙首
white_banner,白色旗帜
orange_banner,橙色旗帜
magenta_banner,品红色旗帜
light_blue_banner,淡蓝色旗帜
yellow_banner,黄色旗帜
lime_banner,黄绿色旗帜
pink_banner,粉红色旗帜
gray_banner,灰色旗帜
light_gray_banner,淡灰色旗帜
cyan_banner,青色旗帜
purple_banner,紫色旗帜
blue_banner,蓝色旗帜
brown_banner,棕色旗帜
green_banner,绿色旗帜
red_banner,红色旗帜
black_banner,黑色旗帜
white_wall_banner,墙上的白色旗帜
orange_wall_banner,墙上的白色旗帜
magenta_wall_banner,墙上的品红色旗帜
light_blue_wall_banner,墙上的淡蓝色旗帜
yellow_wall_banner,墙上的黄色旗帜
lime_wall_banner,墙上的黄绿色旗帜
pink_wall_banner,墙上的粉红色旗帜
gray_wall_banner,墙上的灰色旗帜
light_gray_wall_banner,墙上的淡灰色旗帜
cyan_wall_banner,墙上的青色旗帜
purple_wall_banner,墙上的紫色旗帜
blue_wall_banner,墙上的蓝色旗帜
brown_wall_banner,墙上的棕色旗帜
green_wall_banner,墙上的绿色旗帜
red_wall_banner,墙上的红色旗帜
black_wall_banner,墙上的黑色旗帜
#loom,织布机（JE1.14）
#barrel,木桶（JE1.14）
#smoker,烟熏炉（JE1.14）
#blast_furnace,高炉（JE1.14）
#cartography_table,制图台（JE1.14）
#fleching_table,制箭台（JE1.14）
#grindstone,砂轮（JE1.14）
#lectern,讲台（JE1.14）
#smithing_table,锻造台（JE1.14）
#stonecutter,切石机（JE1.14）
#bell,钟（JE1.14）
#lantern,灯笼（JE1.14）
frosted_ice,霜冰
beetroots,甜菜

# 刷怪笼的旧 ID 为 mob_spawner
mob_spawner,刷怪笼
spawner,刷怪笼

# 下界传送门的旧 ID 为 portal
portal,下界传送门方块
nether_portal,下界传送门方块

end_portal,末地传送门方块
end_gateway,末地折跃门方块
command_block,命令方块
chain_command_block,连锁型命令方块
repeating_command_block,循环型命令方块
structure_block,结构方块
structure_void,结构空位
#jigsaw_block,拼图方块（JE1.14）
barrier,屏障
flowing_water,流动的水
flowing_lava,流动的熔岩
iron_sword,铁剑
iron_shovel,铁锹
iron_pickaxe,铁镐
iron_axe,铁斧
iron_hoe,铁锄
wooden_sword,木剑
wooden_shovel,木锹
wooden_pickaxe,木镐
wooden_axe,木斧
wooden_hoe,木锄
stone_sword,石剑
stone_shovel,石锹
stone_pickaxe,石镐
stone_axe,石斧
stone_hoe,石锄
diamond_sword,钻石剑
diamond_shovel,钻石锹
diamond_pickaxe,钻石镐
diamond_axe,钻石斧
diamond_hoe,钻石锄
golden_sword,金剑
golden_shovel,金锹
golden_pickaxe,金镐
golden_axe,金斧
golden_hoe,金锄
leather_helmet,皮革头盔
leather_chestplate,皮革胸甲
leather_leggings,皮革护腿
leather_boots,皮革靴子
chainmail_helmet,锁链头盔
chainmail_chestplate,锁链胸甲
chainmail_leggings,锁链护腿
chainmail_boots,锁链靴子
iron_helmet,铁头盔
iron_chestplate,铁胸甲
iron_leggings,铁护腿
iron_boots,铁靴子
diamond_helmet,钻石头盔
diamond_chestplate,钻石胸甲
diamond_leggings,钻石护腿
diamond_boots,钻石靴子
golden_helmet,金头盔
golden_chestplate,金胸甲
golden_leggings,金护腿
golden_boots,金靴子
turtle_helmet,海龟壳
scute,鳞甲
flint_and_steel,打火石
bow,弓
arrow,箭
apple,苹果

# coal 旧一对新多，旧 ID 复用
coal,煤炭
~coal,煤炭/木炭
charcoal,木炭

diamond,钻石
iron_ingot,铁锭
gold_ingot,金锭
stick,木棍
bowl,碗
mushroom_stew,蘑菇煲
string,线
feather,羽毛
gunpowder,火药
wheat_seeds,小麦种子
wheat,小麦
bread,面包
flint,燧石
porkchop,生猪排
cooked_porkchop,熟猪排
painting,画

# golden_apple 旧一对新多，旧 ID 复用
golden_apple,金苹果
~golden_apple,金苹果/附魔金苹果
enchanted_golden_apple,附魔金苹果

bucket,桶
water_bucket,水桶
lava_bucket,熔岩桶
milk_bucket,牛奶桶
minecart,矿车
saddle,鞍
redstone,红石
snowball,雪球
boat,橡木船
oak_boat,橡木船
spruce_boat,云杉木船
birch_boat,白桦木船
jungle_boat,丛林木船
acacia_boat,金合欢木船
dark_oak_boat,深色橡木船
leather,皮革
pufferfish_bucket,河豚桶
salmon_bucket,鲑鱼桶
cod_bucket,鳕鱼桶
tropical_fish_bucket,热带鱼桶
brick,红砖
clay_ball,粘土

# 甘蔗的旧 ID 为 reeds，新版为 sugar_cane
reeds,甘蔗
sugar_cane,甘蔗

paper,纸
book,书
slime_ball,粘液球
chest_minecart,运输矿车
furnace_minecart,动力矿车
tnt_minecart,TNT矿车
hopper_minecart,漏斗矿车
command_block_minecart,命令方块矿车
egg,鸡蛋
compass,指南针
fishing_rod,钓鱼竿
clock,时钟
glowstone_dust,荧石粉

# fish 旧一对新多，旧 ID 消失
fish,生鱼（生鳕鱼/鲑鱼/热带鱼/河豚）
cod,生鳕鱼
salmon,生鲑鱼
tropical_fish,热带鱼
pufferfish,河豚

# cooked_fish 旧一对新多，旧 ID 消失
cooked_fish,熟鱼（熟鳕鱼/鲑鱼）
cooked_cod,熟鳕鱼
cooked_salmon,熟鲑鱼

# dye 旧一对新多，旧 ID 消失
dye,染料（16种）
ink_sac,墨囊
rose_red‌‌,玫瑰红‌‌
cactus_green‌‌,仙人掌绿‌‌
cocoa_beans,可可豆
lapis_lazuli,青金石
purple_dye,紫色染料
cyan_dye,青色染料
light_gray_dye,淡灰色染料
gray_dye,灰色染料
pink_dye,粉红色染料
lime_dye,黄绿色染料
dandelion_yellow‌‌,蒲公英黄‌‌
light_blue_dye,淡蓝色染料
magenta_dye,品红色染料
orange_dye,橙色染料
bone_meal,骨粉
#blue_dye,蓝色染料（JE1.14）
#brown_dye,棕色染料（JE1.14）
#black_dye,黑色染料（JE1.14）
#white_dye,白色染料（JE1.14）

bone,骨头
sugar,糖
cookie,曲奇
shears,剪刀
melon_slice,西瓜片
dried_kelp,干海带
pumpkin_seeds,南瓜种子
melon_seeds,西瓜种子
beef,生牛肉
cooked_beef,牛排
chicken,生鸡肉
cooked_chicken,熟鸡肉
rotten_flesh,腐肉
ender_pearl,末影珍珠
blaze_rod,烈焰棒
ghast_tear,恶魂之泪
gold_nugget,金粒
glass_bottle,玻璃瓶
potion,药水
splash_potion,喷溅药水
lingering_potion,滞留药水
tipped_arrow,药箭
spectral_arrow,光灵箭
spider_eye,蜘蛛眼
fermented_spider_eye,发酵蛛眼
blaze_powder,烈焰粉
magma_cream,岩浆膏
ender_eye,末影之眼
glistering_melon_slice,闪烁的西瓜
experience_bottle,附魔之瓶
fire_charge,火焰弹
writable_book,书与笔
written_book,成书
emerald,绿宝石
item_frame,物品展示框
carrot,胡萝卜
potato,马铃薯
baked_potato,烤马铃薯
poisonous_potato,毒马铃薯
map,空地图
filled_map,地图/探险家地图
golden_carrot,金胡萝卜
carrot_on_a_stick,胡萝卜钓竿
nether_star,下界之星
pumpkin_pie,南瓜派
firework_rocket,烟花火箭
firework_star,烟火之星
enchanted_book,附魔书
quartz,下界石英
prismarine_shard,海晶碎片
prismarine_crystals,海晶砂粒
rabbit,生兔肉
cooked_rabbit,熟兔肉
rabbit_stew,兔肉煲
rabbit_foot,兔子脚
rabbit_hide,兔子皮
armor_stand,盔甲架
iron_horse_armor,铁马铠
golden_horse_armor,金马铠
diamond_horse_armor,钻石马铠
lead,拴绳
name_tag,命名牌
mutton,生羊肉
cooked_mutton,熟羊肉
end_crystal,末地水晶
chorus_fruit,紫颂果
popped_chorus_fruit,爆裂紫颂果
beetroot,甜菜根
beetroot_seeds,甜菜种子
beetroot_soup,甜菜汤
dragon_breath,龙息
shield,盾牌
elytra,鞘翅
totem_of_undying,不死图腾
shulker_shell,潜影壳
iron_nugget,铁粒
trident,三叉戟
phantom_membrane,幻翼膜
nautilus_shell,鹦鹉螺壳
heart_of_the_sea,海洋之心
music_disc_13,音乐唱片13
music_disc_cat,音乐唱片Cat
music_disc_blocks,音乐唱片Blocks
music_disc_chirp,音乐唱片Chirp
music_disc_far,音乐唱片Far
music_disc_mall,音乐唱片Mall
music_disc_mellohi,音乐唱片Mellohi
music_disc_stal,音乐唱片Stal
music_disc_strad,音乐唱片Strad
music_disc_ward,音乐唱片Ward
music_disc_11,音乐唱片11
music_disc_wait,音乐唱片Wait
debug_stick,调试棒
bat_spawn_egg,蝙蝠刷怪蛋
blaze_spawn_egg,烈焰人刷怪蛋
#cat_spawn_egg,猫刷怪蛋（JE1.14）
cave_spider_spawn_egg,洞穴蜘蛛刷怪蛋
chicken_spawn_egg,鸡刷怪蛋
cod_spawn_egg,鳕鱼刷怪蛋
cow_spawn_egg,牛刷怪蛋
creeper_spawn_egg,爬行者刷怪蛋
dolphin_spawn_egg,海豚刷怪蛋
donkey_spawn_egg,骡刷怪蛋
drowned_spawn_egg,溺尸刷怪蛋
elder_guardian_spawn_egg,远古守卫者刷怪蛋
enderman_spawn_egg,末影人刷怪蛋
endermite_spawn_egg,末影螨刷怪蛋
evoker_spawn_egg,唤魔者刷怪蛋
ghast_spawn_egg,恶魂刷怪蛋
guardian_spawn_egg,守卫者刷怪蛋
horse_spawn_egg,马刷怪蛋
husk_spawn_egg,尸壳刷怪蛋
#ravager_spawn_egg,劫掠兽刷怪蛋（JE1.14）
llama_spawn_egg,羊驼刷怪蛋
magma_cube_spawn_egg,岩浆怪刷怪蛋
mooshroom_spawn_egg,哞菇刷怪蛋
mule_spawn_egg,骡刷怪蛋
ocelot_spawn_egg,豹猫刷怪蛋
#panda_spawn_egg,熊猫刷怪蛋（JE1.14）
parrot_spawn_egg,鹦鹉刷怪蛋
phantom _spawn_egg,幻翼刷怪蛋
pig_spawn_egg,猪刷怪蛋
#pillager_spawn_egg,掠夺者刷怪蛋（JE1.14）
polar_bear_spawn_egg,北极熊刷怪蛋
pufferfish_spawn_egg,河豚刷怪蛋
rabbit_spawn_egg,兔子刷怪蛋
salmon_spawn_egg,鲑鱼刷怪蛋
sheep_spawn_egg,羊刷怪蛋
shulker_spawn_egg,潜影贝刷怪蛋
silverfish_spawn_egg,蠹虫刷怪蛋
skeleton_spawn_egg,骷髅刷怪蛋
skeleton_horse_spawn_egg,骷髅马刷怪蛋
slime_spawn_egg,史莱姆刷怪蛋
spider_spawn_egg,蜘蛛刷怪蛋
squid_spawn_egg,鱿鱼刷怪蛋
stray_spawn_egg,流浪者刷怪蛋
tropical_fish_spawn_egg,热带鱼刷怪蛋
turtle_spawn_egg,海龟刷怪蛋
vex_spawn_egg,恼鬼刷怪蛋
villager_spawn_egg,村民刷怪蛋
vindicator_spawn_egg,卫道士刷怪蛋
witch_spawn_egg,女巫刷怪蛋
wither_skeleton_spawn_egg,凋灵骷髅刷怪蛋
wolf_spawn_egg,狼刷怪蛋
zombie_spawn_egg,僵尸刷怪蛋
zombie_horse_spawn_egg,僵尸马刷怪蛋
zombie_pigman_spawn_egg,僵尸猪人刷怪蛋
zombie_villager_spawn_egg,僵尸村民刷怪蛋
#crossbow,弩（JE1.14）
#flower_banner_pattern,旗帜图案（花盾徽）（JE1.14）
#creeper_banner_pattern,旗帜图案（爬行者盾徽）（JE1.14）
#skull_banner_pattern,旗帜图案（头颅盾徽）（JE1.14）
#mojang_banner_pattern,旗帜图案（Mojang盾徽）（JE1.14）
#suspicious_stew,迷之炖菜（JE1.14）
